Geneid,Chr,Start,End,Strand,Length,T:1.5h-28C-1,T:1.5h-28C-2,T:1.5h-28C-3,T:3h-28C-1,T:3h-28C-2,T:3h-28C-3,T:9h-28C-1,T:9h-28C-2,T:9h-28C-3,C:1,C:2,C:3
gene:Solyc00g010780.1,SL3.0ch00,8974624,8974782,-,159,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g010930.1,SL3.0ch00,9021960,9022118,+,159,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g011150.1,SL3.0ch00,9130882,9131088,-,207,1392,5284,2429,3836,3337,3253,3520,4197,3510,2945,2879,5094
gene:Solyc00g011160.2,SL3.0ch00;SL3.0ch00,9131190;9131401,9131215;9131662,+;+,288,1541,4795,2177,2924,1527,2858,2610,2060,1754,1346,1629,2888
gene:Solyc00g011170.1,SL3.0ch00,9132049,9132267,-,219,0,7,1,2,1,0,1,1,5,1,1,7
gene:Solyc00g011175.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,9161659;9161812;9162156,9161742;9162078;9163588,+;+;+,1784,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc03g043580.2,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9311778;9311989;9312561;9312810,9311876;9312463;9312700;9313403,+;+;+;+,1308,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g011670.1,SL3.0ch00,9318546,9318728,-,183,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g011673.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9367434;9367524;9367815;9368137;9368299,9367444;9367756;9368011;9368250;9368442,+;+;+;+;+,699,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g011677.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9373933;9374075;9374254;9374459;9374616;9374810;9375015,9374016;9374195;9374423;9374557;9374751;9374979;9375155,+;+;+;+;+;+;+,921,0,0,0,0,1,0,0,0,0,0,0,0
gene:Solyc00g011870.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9376795;9379683;9380739;9381503,9376916;9379746;9380824;9381599,-;-;-;-,369,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g011880.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9384472;9385356;9386225;9386829;9387008,9384724;9385428;9386317;9386912;9387367,+;+;+;+;+,863,332,243,334,362,412,346,341,314,388,342,399,457
gene:Solyc00g011890.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9387619;9387726;9388295;9389054;9390047;9390690;9392158;9392312;9392508;9393909;9394849;9395500;9396322;9397886;9398146;9398445;9398721;9398921;9399105;9400110;9400267;9400423;9400662;9401101;9401658;9401871;9402037;9402852;9403033,9387694;9387992;9388498;9389125;9390212;9390887;9392234;9392407;9392551;9393996;9395139;9395625;9396405;9398054;9398318;9398621;9398830;9399023;9399158;9400172;9400334;9400480;9400728;9401177;9401741;9401939;9402144;9402962;9403098,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,3346,293,247,334,272,292,277,358,291,326,291,325,270
gene:Solyc00g011895.1,SL3.0ch00;SL3.0ch00,9478080;9479970,9478251;9480322,+;+,525,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g012430.1,SL3.0ch00,9553104,9553280,+,177,2933,9576,4576,7247,3132,5614,5233,4406,3129,2567,3193,5490
gene:Solyc00g012435.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9555250;9555449;9555643;9555804;9555960;9556228;9556590,9555403;9555617;9555775;9555884;9556195;9556561;9556796,-;-;-;-;-;-;-,1314,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g012440.1,SL3.0ch00,9565324,9565704,+,381,195,630,109,214,108,252,205,208,175,97,132,388
gene:Solyc00g012540.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9576386;9577206;9577424;9578019,9577106;9577330;9577591;9578117,-;-;-;-,1113,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g012640.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9598213;9599068;9599634;9600114;9600914;9601054;9601591;9601928;9602934;9603191,9598971;9599159;9599733;9600227;9600960;9601153;9601719;9601981;9603000;9603228,-;-;-;-;-;-;-;-;-;-,1500,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g012650.1,SL3.0ch00,9607895,9608272,+,378,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g012660.1,SL3.0ch00;SL3.0ch00,9608925;9609261,9608984;9610418,-;-,1218,4,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g012670.2,SL3.0ch00;SL3.0ch00,9613487;9615176,9613524;9615578,-;-,441,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g012680.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,9618053;9618163;9621639,9618080;9618175;9621975,-;-;-,378,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g012690.1,SL3.0ch00;SL3.0ch00,9622274;9623807,9623722;9624361,-;-,2004,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g012700.2,SL3.0ch00,9626709,9627415,-,707,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g012702.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9627823;9628613;9628934;9629090;9629406;9629620;9629726;9631047;9631375;9631681;9631787,9627856;9628888;9629061;9629380;9629574;9629697;9629856;9631352;9631635;9631765;9632013,+;+;+;+;+;+;+;+;+;+;+,1986,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g012704.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9688376;9688622;9688850;9688973;9689154;9689308;9689454;9689699;9689960;9690161;9690274;9692220;9692326;9692799;9692956;9693272;9695780;9695884;9695990;9696405;9696696,9688580;9688817;9688944;9689103;9689263;9689405;9689663;9689935;9690132;9690242;9690542;9692290;9692767;9692926;9693192;9693868;9695855;9695961;9696336;9696650;9696804,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,4137,0,0,0,0,0,0,0,0,0,2,0,2
gene:Solyc00g012706.1,SL3.0ch00;SL3.0ch00,9699804;9705263,9699979;9705530,-;-,444,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g012708.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9705567;9705731;9706997;9707139;9707252;9707351;9707421;9707669;9707828;9708047,9705641;9705960;9707057;9707216;9707326;9707388;9707640;9707799;9708003;9708087,-;-;-;-;-;-;-;-;-;-,1125,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g013110.1,SL3.0ch00,9718823,9719089,-,267,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g013120.3,SL3.0ch00;SL3.0ch00;SL3.0ch00,9722608;9725564;9726259,9722726;9725680;9726388,-;-;-,366,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g013130.3,SL3.0ch00;SL3.0ch00,9726553;9726869,9726757;9727452,-;-,789,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g013133.1,SL3.0ch00;SL3.0ch00,9727461;9727710,9727652;9727784,-;-,267,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g013137.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,9727831;9729935;9729962,9728104;9729957;9730078,-;-;-,414,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g013140.2,SL3.0ch00;SL3.0ch00;SL3.0ch00,9735781;9736472;9737392,9736084;9737337;9737602,-;-;-,1381,0,0,0,2,2,0,2,0,0,0,0,0
gene:Solyc00g013150.1,SL3.0ch00,9738649,9738942,+,294,0,0,0,6,0,2,0,0,2,0,0,2
gene:Solyc00g013155.1,SL3.0ch00;SL3.0ch00,9738954;9739249,9739212;9739388,-;-,399,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g013160.2,SL3.0ch00,9741248,9741809,-,562,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g013170.1,SL3.0ch00,9742382,9742591,+,210,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g013180.1,SL3.0ch00;SL3.0ch00,9743121;9744366,9743549;9744467,-;-,531,0,0,0,0,0,0,0,0,4,0,0,0
gene:Solyc00g013181.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,9745196;9745537;9755283,9745300;9745711;9755341,-;-;-,339,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g013183.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9793158;9793304;9796658;9796943;9797047;9797301;9797406;9797626,9793259;9793498;9796740;9797001;9797265;9797370;9797559;9797940,-;-;-;-;-;-;-;-,1197,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g013184.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9895539;9895742;9897119;9897278;9897432;9897677;9897966;9898178;9898385;9899422,9895697;9895793;9897242;9897407;9897602;9897930;9898147;9898308;9898457;9899753,+;+;+;+;+;+;+;+;+;+,1608,0,0,0,2,0,0,0,0,0,0,0,0
gene:Solyc00g013185.1,SL3.0ch00;SL3.0ch00,9899787;9900007,9899911;9900314,+;+,433,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g013186.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,9908681;9908900;9909111;9909480;9909528;9909715;9909882;9910068;9910218;9910320;9910588;9914878,9908864;9909082;9909451;9909502;9909663;9909805;9910033;9910182;9910295;9910552;9910769;9915004,+;+;+;+;+;+;+;+;+;+;+;+,1845,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g013188.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,9965269;9965358;9966497,9965322;9965597;9966814,+;+;+,612,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014170.1,SL3.0ch00,9968729,9969013,+,285,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014180.1,SL3.0ch00;SL3.0ch00,9971605;9972651,9971821;9972826,+;+,393,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014190.1,SL3.0ch00,9987584,9987799,+,216,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014290.1,SL3.0ch00;SL3.0ch00,10010145;10010503,10010282;10010691,-;-,327,0,0,0,0,0,0,0,0,0,2,0,0
gene:Solyc00g014390.1,SL3.0ch00,10024074,10024340,+,267,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014395.1,SL3.0ch00;SL3.0ch00,10048779;10051859,10048967;10053531,+;+,1862,0,0,0,0,0,0,0,0,0,2,0,0
gene:Solyc00g014790.2,SL3.0ch00;SL3.0ch00,10110907;10112877,10111208;10113422,+;+,848,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014800.1,SL3.0ch00,10113426,10113917,-,492,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014810.1,SL3.0ch00,10115721,10115885,-,165,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014820.2,SL3.0ch00;SL3.0ch00,10116236;10116664,10116447;10117151,+;+,700,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014830.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,10119533;10120329;10122116;10122311;10124495;10125507,10119817;10120647;10122271;10123007;10124594;10125614,-;-;-;-;-;-,1665,2,4,0,4,0,0,2,0,0,0,0,0
gene:Solyc00g014840.1,SL3.0ch00,10125787,10126128,+,342,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014850.1,SL3.0ch00,10127004,10127315,-,312,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014860.1,SL3.0ch00;SL3.0ch00,10127928;10128190,10128116;10128237,-;-,237,0,2,0,0,0,0,0,0,0,0,0,2
gene:Solyc00g014960.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,10131942;10134063;10135331;10135819;10135968,10132130;10135253;10135584;10135891;10136228,-;-;-;-;-,1968,0,2,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014970.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,10137406;10138625;10139495,10137433;10139452;10139739,+;+;+,1101,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014980.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,10140293;10144670;10145146;10146614,10141390;10144840;10145289;10146724,+;+;+;+,1524,2,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014990.2,SL3.0ch00;SL3.0ch00,10149019;10149518,10149095;10149777,-;-,337,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g014995.1,SL3.0ch00,10149514,10149777,+,264,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g015000.1,SL3.0ch00,10151972,10152463,-,492,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g015600.1,SL3.0ch00,10265308,10265463,-,156,0,2,0,0,2,0,0,6,4,2,2,0
gene:Solyc00g015720.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,10275617;10276415;10277365;10277921,10275746;10276962;10277755;10278414,-;-;-;-,1563,2,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g015730.2,SL3.0ch00,10281203,10281487,-,285,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g015733.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,10284549;10284745;10285095;10285257;10285421;10285788,10284656;10284795;10285171;10285344;10285696;10286072,+;+;+;+;+;+,885,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g015735.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,10340022;10347948;10351491;10351753,10342177;10351032;10351551;10351896,+;+;+;+,5446,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g015737.1,SL3.0ch00;SL3.0ch00,10357518;10360692,10359963;10361092,-;-,2847,0,0,2,0,0,0,0,0,0,0,0,0
gene:Solyc00g016470.1,SL3.0ch00;SL3.0ch00,10395624;10396035,10395763;10396083,-;-,189,0,0,0,0,0,2,0,0,0,0,0,0
gene:Solyc00g016480.1,SL3.0ch00;SL3.0ch00,10397790;10398381,10398193;10398528,-;-,552,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g016490.1,SL3.0ch00;SL3.0ch00,10400874;10401659,10401357;10402053,+;+,879,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g016590.2,SL3.0ch00;SL3.0ch00;SL3.0ch00,10422651;10423193;10423811,10423103;10423558;10423921,+;+;+,930,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g016790.1,SL3.0ch00,10446494,10446655,+,162,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g016900.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,10464464;10465747;10468161,10464625;10465865;10468260,-;-;-,381,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g016910.1,SL3.0ch00;SL3.0ch00,10468582;10471726,10468772;10471810,-;-,276,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g016915.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,10475057;10477905;10477977,10475997;10477972;10478306,+;+;+,1339,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017210.2,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,10509427;10509623;10510117;10510842,10509486;10510016;10510730;10510907,+;+;+;+,1134,10,5,3,7,7,4,5,10,12,8,7,10
gene:Solyc00g017220.2,SL3.0ch00,10511454,10512248,-,795,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017230.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,10517894;10518993;10519472,10518203;10519311;10519631,-;-;-,789,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017235.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,10543076;10543311;10545776,10543265;10543439;10545966,+;+;+,510,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017540.2,SL3.0ch00;SL3.0ch00,10560571;10560784,10560707;10560953,+;+,307,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017550.2,SL3.0ch00;SL3.0ch00,10564436;10564649,10564572;10564815,+;+,304,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017760.1,SL3.0ch00,10585166,10585381,-,216,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017860.1,SL3.0ch00,10594795,10595049,+,255,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017870.1,SL3.0ch00;SL3.0ch00,10597031;10597554,10597414;10597937,+;+,768,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017880.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,10598427;10599307;10601447;10602459,10598879;10601129;10602311;10602569,-;-;-;-,3252,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017890.1,SL3.0ch00,10602762,10603559,+,798,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017900.1,SL3.0ch00,10603724,10604149,+,426,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017910.1,SL3.0ch00;SL3.0ch00,10604335;10605160,10604832;10605861,+;+,1200,2,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017920.1,SL3.0ch00,10605932,10607002,+,1071,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017930.1,SL3.0ch00;SL3.0ch00,10607665;10608221,10608030;10608607,+;+,753,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g017933.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,10621381;10621418;10621600;10621842;10621971,10621392;10621575;10621813;10621919;10622291,+;+;+;+;+,783,0,0,2,0,0,0,0,0,0,0,0,0
gene:Solyc00g017937.1,SL3.0ch00,10636989,10637423,+,435,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g018760.1,SL3.0ch00,10708478,10709035,+,558,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g018770.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,10713565;10717328;10718400,10714749;10718349;10718418,-;-;-,2226,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g018970.1,SL3.0ch00,10737341,10737493,+,153,0,7,0,1,2,5,6,0,2,0,1,3
gene:Solyc00g019610.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,10807935;10808909;10809971;10810721,10808076;10808978;10810106;10810858,+;+;+;+,486,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g019620.2,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,10815974;10816262;10816478;10816703;10816931;10817265;10817902;10818270;10819052,10816155;10816405;10816610;10816831;10817110;10817807;10818195;10818784;10819131,-;-;-;-;-;-;-;-;-,2200,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g019630.2,SL3.0ch00;SL3.0ch00,10819558;10819836,10819604;10819968,-;-,180,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g019730.2,SL3.0ch00,10828879,10829313,-,435,0,0,2,4,0,2,4,6,0,0,0,0
gene:Solyc00g019740.1,SL3.0ch00,10829945,10830415,-,471,0,2,0,0,0,2,0,2,2,0,4,4
gene:Solyc00g019750.1,SL3.0ch00,10831540,10831749,-,210,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g019950.1,SL3.0ch00,10845748,10846320,-,573,4,2,11,3,4,7,11,9,2,0,4,12
gene:Solyc00g019970.2,SL3.0ch00;SL3.0ch00,10846622;10847089,10847007;10847613,+;+,911,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g019980.2,SL3.0ch00;SL3.0ch00;SL3.0ch00,10849638;10850002;10850264,10849754;10850149;10850867,+;+;+,869,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g019990.1,SL3.0ch00,10851083,10851298,+,216,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g020000.1,SL3.0ch00,10852677,10852850,+,174,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g020010.1,SL3.0ch00,10853117,10853344,-,228,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g020020.2,SL3.0ch00;SL3.0ch00;SL3.0ch00,10853714;10853884;10854313,10853784;10854186;10854797,+;+;+,859,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g020030.1,SL3.0ch00,10854653,10854853,-,201,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g020040.1,SL3.0ch00,10856014,10856634,+,621,0,0,0,0,0,0,1,2,0,0,0,0
gene:Solyc00g020440.1,SL3.0ch00,10897983,10898177,+,195,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g020540.2,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,10905183;10907347;10907510;10907680,10907276;10907423;10907587;10908387,+;+;+;+,2957,79,112,72,70,54,120,73,69,82,91,75,78
gene:Solyc00g020545.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,10947269;10947658;10947972;10948241;10948776;10949006;10949307,10947537;10947754;10948154;10948475;10948812;10949112;10949786,+;+;+;+;+;+;+,1408,0,0,2,0,0,0,0,2,4,0,0,0
gene:Solyc00g020940.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,10948756;10948966;10949307;10949837,10948812;10949112;10949711;10950271,+;+;+;+,1044,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g020960.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,10951339;10952650;10953843,10951984;10953150;10954393,+;+;+,1698,0,0,0,1,0,0,0,0,0,0,0,0
gene:Solyc00g020970.1,SL3.0ch00;SL3.0ch00,10954610;10955800,10955516;10956275,-;-,1383,0,2,2,0,0,1,0,0,0,0,2,0
gene:Solyc00g020980.1,SL3.0ch00,10956590,10956802,+,213,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g020990.2,SL3.0ch00;SL3.0ch00,10957992;10959275,10959032;10959443,+;+,1210,0,0,0,0,0,0,2,0,0,2,0,0
gene:Solyc00g021490.2,SL3.0ch00,11002346,11003053,-,708,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g021500.2,SL3.0ch00,11004416,11005027,-,612,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g021510.2,SL3.0ch00,11005457,11006140,-,684,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g021520.1,SL3.0ch00;SL3.0ch00,11006269;11006989,11006841;11008125,-;-,1710,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g021530.2,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,11008556;11010019;11010993;11011289,11009793;11010603;11011141;11011392,-;-;-;-,2076,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g021630.1,SL3.0ch00,11014979,11015632,-,654,0,2,0,0,2,0,0,1,0,0,0,2
gene:Solyc00g021640.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,11016324;11017891;11018210;11018305;11018392;11018470;11018597;11018698;11018847;11018924;11019000,11017530;11017894;11018225;11018327;11018399;11018493;11018605;11018708;11018852;11018950;11019036,-;-;-;-;-;-;-;-;-;-;-,1372,0,0,0,2,2,0,0,0,2,0,0,0
gene:Solyc00g021650.1,SL3.0ch00,11019611,11019841,+,231,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g021655.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,11039441;11039685;11039950;11040104;11040384;11040583;11040837;11042450;11042576;11042733;11042887,11039656;11039919;11040067;11040326;11040554;11040806;11040919;11042540;11042687;11042810;11043012,+;+;+;+;+;+;+;+;+;+;+,1677,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g022070.1,SL3.0ch00;SL3.0ch00,11053611;11053716,11053630;11053848,+;+,153,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g022080.1,SL3.0ch00,11055348,11055560,-,213,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g022090.2,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,11056299;11056739;11057008;11058235,11056401;11056801;11057231;11058576,-;-;-;-,732,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g022100.1,SL3.0ch00,11058782,11059261,-,480,0,0,2,2,0,0,0,0,0,0,0,2
gene:Solyc00g022103.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,11059414;11059609;11060039,11059590;11059759;11060109,-;-;-,399,0,2,2,2,0,0,0,0,0,1,2,0
gene:Solyc00g022107.1,SL3.0ch00;SL3.0ch00;SL3.0ch00,11061570;11062253;11072266,11062223;11062416;11072272,-;-;-,825,0,0,0,0,0,0,0,0,0,0,2,0
gene:Solyc00g022920.2,SL3.0ch00;SL3.0ch00,11138178;11138788,11138380;11139043,+;+,459,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g023020.2,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,11140711;11141016;11141207;11141516,11140902;11141103;11141317;11141643,+;+;+;+,519,0,0,0,0,0,0,0,0,0,0,0,0
